ENVIRONMENT,TEMP_C,HUMIDITY_PCT,ECO2_PPM,LUX,CO_PPM,NH3_PPM,NO2_PPM,DT_SCORE
tundra_edge,-4.235,68.254,438,9076,0.092,0.129,0.007,1
tundra_edge,0.151,60.446,430,17499.5,0.202,0.098,0.002,1
industrial_exhaust,22.682,56.261,3687,3621.6,151.633,62.558,3.822,0
unventilated_room,25.027,55.327,3958,337.5,0.514,0.468,0.014,0
indoor_kitchen_cooking,23.809,57.739,1348,349.2,7.754,1.448,0.225,1
english_garden,18.457,46.609,404,21824.9,0.39,0.125,0.002,2
frozen_wasteland,-25.607,30.17,411,4013.3,0.188,0.099,0.005,0
tropical_rainforest,24.978,90.59,400,11535.8,0.344,0.209,0.003,2
tropical_rainforest,25.7,92.535,409,3646.3,0.369,0.81,0.003,2
industrial_exhaust,31.135,22.44,1530,23163.7,179.175,93.154,4.512,0
classroom,21.168,54.454,780,651.4,0.391,0.056,0.01,2
volcanic_vent,69.107,83.069,5862,7893,124.098,4.838,0.521,0
tropical_rainforest,25.451,86.405,387,9093.9,0.056,0.295,0.002,2
english_garden,16.536,61.93,480,19353.7,0.855,0.423,0.003,2
english_garden,15.595,46.052,416,27770.8,0.707,0.136,0.007,2
classroom,22.219,49.856,850,400.1,0.984,0.224,0.017,2
unventilated_room,22.757,42.351,3447,291.2,1.089,0.396,0.029,0
greenhouse,20.421,72.309,672,32062.7,0.453,1.48,0.021,2
english_garden,21.079,54.818,487,26370.1,0.522,0.22,0.003,2
underground_cave,8.439,89.755,1081,20.4,0.943,2.074,0.014,1
ammonia_leak,28.535,50.188,709,719,0.347,280.5,0.016,0
diesel_exhaust_zone,16.118,51.652,665,28147.1,1.75,0.633,2.006,0
frozen_wasteland,-29.005,19.362,444,4519.9,0.057,0.062,0.01,0
classroom,21.997,50.033,709,503.8,0.904,0.15,0.017,2
classroom,20.958,53.116,521,419.4,0.668,0.135,0.011,2
diesel_exhaust_zone,22.523,48.003,577,17705.3,6.013,0.678,4.536,0
underground_cave,8.759,91.898,1212,42.2,1.418,2.576,0.037,1
tundra_edge,-4.306,60.064,403,11303,0.102,0.036,0.006,1
indoor_kitchen_cooking,23.711,74.391,1226,356.6,12.36,1.951,0.058,1
dry_scrubland,28.148,21.976,408,72805.4,0.132,0.336,0.013,1
industrial_exhaust,20.62,23.713,3827,2071.3,88.188,38.776,5.749,0
ammonia_leak,16.637,74.013,786,221.6,0.385,162.877,0.046,0
volcanic_vent,45.072,62.294,6125,13302,122.942,2.446,3.624,0
industrial_exhaust,26.626,25.119,4651,13418.4,57.901,99.184,1.733,0
underground_cave,12.37,93.516,1983,48.3,2.892,2.815,0.02,1
volcanic_vent,41.774,82.107,5835,17345.5,143.655,4.245,4.156,0
classroom,19.343,35.173,845,326.4,1.323,0.094,0.019,2
unventilated_room,21.707,43.49,4931,296.6,0.828,0.126,0.013,0
english_garden,21.836,55.493,428,11216.8,0.275,0.114,0.003,2
classroom,20.914,47.296,517,545.7,0.338,0.096,0.005,2
volcanic_vent,68.667,65.419,8924,16636.7,103.883,4.92,3.521,0
urban_roadside,21.937,68.015,551,23923.3,24.766,0.502,0.299,1
volcanic_vent,60.25,69.705,8613,20355.2,69.408,4.654,3.147,0
industrial_exhaust,27.631,43.169,2026,36874.1,193.011,45.818,5.502,0
tundra_edge,2.087,59.141,429,11152.1,0.274,0.161,0.01,1
dry_scrubland,31.157,16.071,401,74810,0.447,0.321,0.002,1
industrial_exhaust,21.901,54.425,3832,5198.6,68.143,73.944,7.657,0
dry_scrubland,28.399,17.706,492,77199.4,0.38,0.474,0.013,1
volcanic_vent,44.216,33.828,3600,13521.5,94.289,3.119,1.924,0
volcanic_vent,45.776,51.744,6724,21856.6,134.524,2.703,1.941,0
frozen_wasteland,-36.358,35.857,433,1526.2,0.232,0.051,0.007,0
classroom,21.965,52.452,888,328,0.98,0.074,0.009,2
dry_scrubland,34.336,10.957,451,91780.7,0.125,0.138,0.012,1
volcanic_vent,40.742,84.716,3809,9891.5,65.696,3.075,2.515,0
ammonia_leak,16.735,49.963,457,878.9,1.006,431.184,0.014,0
tundra_edge,-0.75,58.858,404,13707.9,0.408,0.164,0.003,1
indoor_kitchen_cooking,26.831,74.313,1356,304.7,2.256,1.6,0.283,1
diesel_exhaust_zone,28.842,69.46,625,27586.7,7.473,0.712,5.911,0
underground_cave,12.936,93.389,1659,12.7,1.594,1.484,0.042,1
classroom,21.796,35.411,710,646.9,1.062,0.032,0.012,2
diesel_exhaust_zone,27.94,69.417,609,5036.1,2.199,0.495,7.102,0
tropical_rainforest,28.099,93.199,415,3795.3,0.381,0.885,0.002,2
underground_cave,8.073,88.801,1868,0.2,1.371,2.844,0.045,1
indoor_kitchen_cooking,26.373,64.546,1136,484.2,5.135,3,0.217,1
greenhouse,23.605,71.287,674,17064.4,0.264,1.187,0.011,2
underground_cave,12.454,84.394,1567,30.4,2.652,0.898,0.039,1
tropical_rainforest,26.435,77.271,393,4438.2,0.422,0.518,0.003,2
greenhouse,26.392,55.133,933,15902.2,0.283,1.424,0.019,2
urban_roadside,22.243,51.57,537,22265.7,4.709,0.872,0.065,1
volcanic_vent,65.771,74.265,5509,16983.3,55.857,4.045,4.721,0
greenhouse,23.02,61.962,981,49011.1,0.619,0.219,0.025,2
english_garden,20.266,59.254,440,10462,0.246,0.12,0.009,2
unventilated_room,25.155,46.866,4007,435.1,0.806,0.417,0.016,0
urban_roadside,11.402,49.776,655,27011.6,9.799,0.549,0.167,1
classroom,19.811,40.346,768,781.6,0.526,0.207,0.017,2
greenhouse,24.931,72.936,724,40827,0.782,1.006,0.006,2
underground_cave,13.324,86.39,2188,42.8,2.883,2.726,0.01,1
indoor_kitchen_cooking,28.871,49.628,1110,569.6,7.815,2.422,0.272,1
unventilated_room,24.63,46.609,4060,261.9,0.977,0.145,0.011,0
dry_scrubland,32.061,23.004,460,84291.4,0.205,0.247,0.01,1
volcanic_vent,77.314,36.823,3294,28619.2,75.946,1.382,2.865,0
unventilated_room,21.807,42.82,4311,179,1.052,0.453,0.005,0
english_garden,15.282,60.125,447,28848.3,0.924,0.091,0.006,2
underground_cave,11.193,88.631,1001,32.2,2.206,2.481,0.022,1
tundra_edge,-2.663,51.634,452,1864,0.27,0.19,0.003,1
greenhouse,21.728,62.181,651,36780.9,0.167,0.531,0.015,2
classroom,21.466,44.47,789,583.3,0.579,0.23,0.009,2
volcanic_vent,51.204,32.227,3419,16965.7,80.786,4.026,1.039,0
volcanic_vent,75.292,37.578,3513,2469.1,138.879,1.678,0.747,0
urban_roadside,19.783,52.448,645,7624.1,17.237,0.449,0.467,1
volcanic_vent,79.502,76.934,8690,16804.6,94.949,3.935,4.436,0
indoor_kitchen_cooking,28.518,53.39,1667,213,14.582,1.812,0.144,1
tropical_rainforest,29.855,77.903,445,13839.6,0.193,0.602,0.005,2
diesel_exhaust_zone,29.501,43.075,699,13714.8,6.199,0.325,1.741,0
indoor_kitchen_cooking,25.296,60.002,1010,527.5,7.901,2.236,0.213,1
classroom,20.359,53.259,818,405,0.417,0.193,0.006,2
urban_roadside,14.172,52.985,526,28222.5,7.116,0.65,0.305,1
greenhouse,27.6,57.805,928,44454.7,0.254,0.223,0.008,2
volcanic_vent,59.377,47.518,5519,14231.7,30.857,2.869,1.188,0
diesel_exhaust_zone,15.924,65.407,541,17268.8,6.436,0.287,7.422,0
unventilated_room,24.939,43.412,4823,123.5,1.853,0.41,0.027,0
underground_cave,11.095,85.601,1608,28.2,1.09,0.873,0.017,1
greenhouse,23.727,67.85,960,31269.9,0.177,1.151,0.028,2
classroom,22.903,36.908,568,732.4,0.888,0.075,0.007,2
industrial_exhaust,23.279,37.319,3279,39809.7,193.203,73.282,8.245,0
dry_scrubland,33.063,16.42,442,68562.5,0.748,0.421,0.009,1
unventilated_room,23.996,52.157,4311,148.2,1.369,0.3,0.022,0
frozen_wasteland,-15.436,27.643,434,1933.2,0.063,0.006,0.002,0
industrial_exhaust,22.069,66.867,2544,29425.8,98.745,59.216,9.823,0
diesel_exhaust_zone,26.226,69.895,634,29965.9,2.76,0.236,3.173,0
classroom,19.093,37.384,664,498.2,0.884,0.014,0.013,2
urban_roadside,12.901,51.881,668,5096.2,17.268,0.394,0.131,1
tundra_edge,-4.475,73.027,414,5723.1,0.23,0.099,0.002,1
classroom,22.699,44.87,532,529.8,1.379,0.185,0.02,2
classroom,19.625,47.523,849,530.4,1.348,0.236,0.007,2
urban_roadside,19.215,63.133,563,21176.1,13.049,0.296,0.392,1
dry_scrubland,36.078,14.814,484,63028.6,0.603,0.31,0.014,1
tropical_rainforest,28.663,82.656,403,1840.8,0.48,0.338,0.003,2
unventilated_room,21.782,42.003,3150,488.8,1.939,0.45,0.011,0
classroom,19.901,43.543,604,411.4,1.109,0.098,0.012,2
tundra_edge,-1.801,70.77,411,16936.6,0.496,0.137,0.007,1
frozen_wasteland,-30.821,18.728,418,214,0.266,0.04,0.005,0
classroom,21.22,51.89,588,778.1,0.857,0.046,0.006,2
tundra_edge,-0.441,67.586,413,1579.6,0.482,0.132,0.009,1
tropical_rainforest,27.909,81.037,436,7060.7,0.293,0.28,0.003,2
frozen_wasteland,-28.229,26.569,415,582.2,0.208,0.063,0.008,0
unventilated_room,25.683,45.23,3621,214,1.081,0.267,0.021,0
tropical_rainforest,27.886,76.815,414,5267.7,0.366,0.872,0.004,2
english_garden,15.321,62.04,466,13456.4,0.422,0.219,0.007,2
unventilated_room,25.971,53.731,4135,138.6,1.382,0.424,0.027,0
tropical_rainforest,29.162,81.504,413,14649.7,0.293,0.345,0.003,2
unventilated_room,21.139,53.114,3514,154.6,1.179,0.438,0.005,0
tundra_edge,2.906,56.743,403,11316.9,0.365,0.036,0.006,1
english_garden,21.189,53.128,462,12945.7,0.937,0.432,0.01,2
unventilated_room,24.134,52.456,3710,208.8,1.31,0.346,0.028,0
frozen_wasteland,-25.139,39.363,421,161.4,0.279,0.039,0.001,0
frozen_wasteland,-15.887,10.632,404,2496.1,0.236,0.033,0.009,0
indoor_kitchen_cooking,27.654,66.34,1503,556.7,2.945,1.848,0.08,1
tundra_edge,-2.693,67.043,431,18322.7,0.408,0.114,0.01,1
english_garden,21.885,58.549,440,32085.8,0.969,0.215,0.001,2
ammonia_leak,20.763,61.624,410,960.8,1.524,170.318,0.048,0
tropical_rainforest,26.368,82.418,448,8833.8,0.311,0.334,0.003,2
english_garden,21.327,48.311,440,17776.3,0.729,0.117,0.007,2
unventilated_room,25.032,43.454,4257,442.3,1.747,0.22,0.011,0
industrial_exhaust,20.01,42.604,3222,29619.6,127.257,75.347,9.966,0
frozen_wasteland,-33.031,17.533,407,3693.8,0.171,0.08,0.005,0
underground_cave,12.009,85.8,1431,26.1,2.42,0.876,0.042,1
tropical_rainforest,29.13,76.729,440,7849,0.498,0.632,0.004,2
dry_scrubland,31.353,14.135,434,52352.3,0.214,0.2,0.005,1
classroom,19.336,43.868,610,399.3,0.907,0.052,0.016,2
tropical_rainforest,26.815,75.166,445,14257.4,0.265,0.108,0.003,2
volcanic_vent,61.144,80.279,8239,28993.3,129.944,3.367,4.498,0
dry_scrubland,30.178,10.771,460,71667.1,0.563,0.194,0.009,1
underground_cave,10.804,85.311,2230,27,0.929,0.723,0.007,1
classroom,22.05,43.308,506,715.1,1.026,0.046,0.016,2
classroom,21.154,48.493,632,584.9,1.351,0.284,0.007,2
volcanic_vent,43.619,87.142,7420,19534.3,73.711,0.633,1.6,0
dry_scrubland,36.657,11.183,420,92807.9,0.202,0.195,0.003,1
unventilated_room,24.614,58.091,3376,117.6,1.088,0.23,0.023,0
greenhouse,20.35,59.967,633,19992.2,0.665,0.218,0.029,2
industrial_exhaust,34.763,22.587,3679,33810.6,112.067,86.499,9.141,0
unventilated_room,21.557,45.977,4699,310.1,1.022,0.317,0.02,0
classroom,19.83,48.993,702,714.9,1.253,0.027,0.017,2
industrial_exhaust,30.969,50.225,4120,14819.4,137.825,85.845,7.597,0
english_garden,15.91,50.013,417,29153.8,0.123,0.007,0.008,2
indoor_kitchen_cooking,28.023,55.921,1715,377.6,4.541,2.421,0.172,1
unventilated_room,22.675,41.363,3030,329.7,0.677,0.401,0.01,0
frozen_wasteland,-26.341,16.589,449,1147.2,0.073,0.058,0.004,0
ammonia_leak,15.536,54.962,625,912.3,1.985,151.46,0.017,0
english_garden,16.398,50.26,452,14453.5,0.733,0.148,0.001,2
urban_roadside,10.377,58.661,533,5171.1,14.484,0.769,0.332,1
dry_scrubland,35.838,12.402,409,85014.7,0.325,0.274,0.009,1
urban_roadside,16.984,64.55,630,5602.7,24.384,0.221,0.477,1
urban_roadside,18.495,67.051,535,29649.6,6.054,0.219,0.228,1
diesel_exhaust_zone,26.712,45.613,522,14015.5,1.523,0.423,3.583,0
indoor_kitchen_cooking,28.796,48.449,1666,213.3,2.975,1.06,0.077,1
unventilated_room,25.048,49.413,4938,261.4,0.716,0.128,0.01,0
diesel_exhaust_zone,15.577,68.156,589,7311.9,1.213,0.62,3.221,0
frozen_wasteland,-38.949,15.112,425,2742,0.255,0.033,0.001,0
unventilated_room,23.44,46.611,4746,138.9,1.531,0.337,0.009,0
diesel_exhaust_zone,16.665,56.096,552,14836.4,2.48,0.622,1.639,0
indoor_kitchen_cooking,28.169,52.906,1251,379.6,10.317,0.867,0.247,1
tundra_edge,0.891,68.837,421,16368.7,0.379,0.191,0.003,1
classroom,21.084,35.483,661,699.3,0.852,0.187,0.009,2
underground_cave,13.147,82.138,2138,26.6,1.733,1.577,0.03,1
tropical_rainforest,24.692,82.045,414,8988.9,0.35,0.476,0.004,2
underground_cave,8.396,89.842,1983,40.3,1.037,2.167,0.032,1
ammonia_leak,28.703,59.789,529,432.1,1.845,230.293,0.01,0
indoor_kitchen_cooking,25.29,60.016,809,566.7,8.565,2.948,0.172,1
urban_roadside,22.335,49.239,516,15130.6,10.131,0.127,0.373,1
industrial_exhaust,24.322,68.027,1638,28665.4,180.781,84.345,2.552,0
frozen_wasteland,-33.229,18.691,445,4530.7,0.084,0.014,0.01,0
tundra_edge,-2.292,66.735,453,3989.5,0.176,0.162,0.008,1
volcanic_vent,73.384,45.316,7970,25437.1,47.938,1.874,0.522,0
unventilated_room,22.287,50.125,4783,324.8,1.378,0.429,0.009,0
classroom,20.067,46.052,836,375.9,0.964,0.095,0.008,2
ammonia_leak,27.766,74.883,800,910.3,1.948,460.787,0.007,0
volcanic_vent,51.762,66.164,7756,16530.5,61.077,0.955,1.636,0
urban_roadside,12.875,64.288,595,24168.4,14.688,0.654,0.353,1
tropical_rainforest,29.092,89.742,422,8760.3,0.181,0.539,0.003,2
indoor_kitchen_cooking,29.181,61.775,1424,576.8,10.966,0.827,0.263,1
ammonia_leak,16.124,75.146,401,971.5,1.029,211.017,0.037,0
urban_roadside,17.519,62.777,691,12726.1,24.428,0.27,0.167,1
industrial_exhaust,17.878,28.978,2838,14623.8,134.533,84.733,6.931,0
classroom,19.255,38.679,578,629,0.827,0.261,0.006,2
english_garden,19.346,58.555,472,29093.8,0.855,0.314,0.009,2
underground_cave,10.637,77.419,1703,3.2,2.219,0.996,0.04,1
english_garden,15.447,64.767,464,35567.7,0.335,0.356,0.009,2
classroom,21.018,37.156,558,336.1,1.44,0.073,0.011,2
classroom,19.689,53.146,653,626.6,1.469,0.123,0.015,2
unventilated_room,25.324,59.663,4969,410.3,1.914,0.335,0.025,0
frozen_wasteland,-26.552,32.304,432,4158.1,0.192,0.078,0.002,0
dry_scrubland,33.31,18.341,496,65428.8,0.341,0.468,0.013,1
unventilated_room,20.532,52.968,4526,386.6,1.211,0.497,0.03,0
ammonia_leak,26.069,77.582,482,736.8,0.935,475.142,0.02,0
frozen_wasteland,-15.774,13.6,449,2891.8,0.048,0.081,0.005,0
urban_roadside,19.01,64.285,654,12909.8,8.801,0.233,0.216,1
urban_roadside,19.672,68.565,695,10556.5,24.218,0.71,0.334,1
industrial_exhaust,30.738,53.368,3075,32769,188.815,83.478,7.476,0
indoor_kitchen_cooking,26.226,47.107,1180,364.9,12.524,0.894,0.079,1
tropical_rainforest,28.6,83.126,382,13130.2,0.42,0.946,0.003,2
underground_cave,11.454,82.941,2266,9.1,2.634,1.099,0.025,1
classroom,22.023,37.712,652,489.7,0.505,0.006,0.015,2
unventilated_room,24.628,45.863,4054,226.5,1.379,0.196,0.01,0
urban_roadside,14.043,58.706,568,25746.7,17.91,0.62,0.338,1
classroom,22.165,40.524,557,723.9,0.371,0.074,0.014,2
volcanic_vent,63.086,81.637,4094,25972.7,106.935,4.639,1.266,0
tropical_rainforest,25.443,86.17,381,11245,0.477,0.219,0.002,2
dry_scrubland,30.673,23.636,452,57948.3,0.103,0.261,0.015,1
volcanic_vent,68.842,85.335,7454,27915.8,63.372,3.829,2.808,0
underground_cave,9.577,94.406,1298,22.7,0.723,0.832,0.047,1
frozen_wasteland,-38.7,10.54,419,4359.9,0.235,0.06,0.009,0
ammonia_leak,15.363,68.769,655,625.3,0.671,239.281,0.009,0
ammonia_leak,20.559,46.901,783,996.9,1.195,74.822,0.05,0
greenhouse,25.727,62.838,641,40687.4,0.892,0.549,0.01,2
classroom,20.043,45.621,617,310.9,1.227,0.02,0.017,2
indoor_kitchen_cooking,22.148,70.177,1781,463.5,9.419,0.724,0.295,1
ammonia_leak,25.786,70.129,467,657.8,0.538,162.326,0.019,0
english_garden,15.638,55.883,418,36335.8,0.432,0.223,0.003,2
tundra_edge,4.506,60,448,17659.5,0.22,0.127,0.006,1
dry_scrubland,35.112,14.444,473,97929,0.14,0.266,0.018,1
tropical_rainforest,25.387,82.614,448,2394.5,0.192,0.88,0.003,2
industrial_exhaust,25.927,26.295,4096,18841.5,168.028,82.209,5.472,0
tundra_edge,-1.963,73.153,407,1927.5,0.332,0.088,0.006,1
ammonia_leak,23.926,67.32,446,851.2,1.723,253.252,0.036,0
tundra_edge,2.356,70.373,447,15315.8,0.213,0.084,0.002,1
english_garden,20.846,52.357,495,39502.1,0.516,0.141,0.004,2
urban_roadside,20.72,46.198,467,13581.3,18.64,0.808,0.273,1
volcanic_vent,43.379,58.388,6356,175.4,134.091,3.598,3.049,0
greenhouse,25.864,58.413,750,39641.7,0.278,0.437,0.029,2
indoor_kitchen_cooking,23.995,69.311,1130,374.9,6.042,0.86,0.204,1
diesel_exhaust_zone,20.167,45.921,616,17802.7,2.338,0.891,5.13,0
classroom,20.281,43.958,579,772.1,0.812,0.131,0.006,2
ammonia_leak,29.273,74.137,709,392.5,0.15,191.965,0.014,0
volcanic_vent,53.966,82.491,9378,8286.8,135.567,3.984,3.075,0
industrial_exhaust,20.705,65.487,3479,11317.2,131.905,13.053,4.844,0
ammonia_leak,21.397,48.07,669,365.3,0.45,363.548,0.048,0
diesel_exhaust_zone,22.612,44.887,643,26191.3,4.092,0.435,6.38,0
diesel_exhaust_zone,25.029,44.735,514,14697.8,1.387,0.312,2.484,0
classroom,19.82,52.574,795,436.3,1.128,0.125,0.011,2
english_garden,16.791,49.623,499,17472.7,0.518,0.05,0.003,2
tropical_rainforest,29.755,77.991,436,3472.5,0.275,0.996,0.004,2
industrial_exhaust,22.597,49.14,1989,1863.4,174.663,12.192,2.414,0
diesel_exhaust_zone,22.634,48.832,472,17841.8,4.817,0.934,4.146,0
ammonia_leak,16.66,75.393,523,972.6,0.315,387.561,0.003,0
unventilated_room,22.242,55.751,4448,118.8,1.425,0.142,0.028,0
classroom,20.742,41.792,762,512.9,0.642,0.116,0.017,2
industrial_exhaust,23.347,54.09,2769,31188.7,110.693,30.116,8.879,0
classroom,19.742,43.265,724,416.1,0.477,0.04,0.016,2
tropical_rainforest,28.984,88.191,412,14372.8,0.317,0.105,0.005,2
volcanic_vent,66.076,43.941,9947,1833,140.267,3.781,2.907,0
unventilated_room,22.043,44.289,3610,311.5,1.317,0.471,0.017,0
indoor_kitchen_cooking,29.256,52.7,1604,420.7,5.069,1.562,0.131,1
frozen_wasteland,-15.455,34.272,402,3024,0.1,0.067,0.009,0
industrial_exhaust,33.96,41.156,4151,20423.7,169.763,16.33,3.752,0
frozen_wasteland,-39.895,13.621,432,1694.4,0.122,0.028,0.002,0
dry_scrubland,37.692,21.237,458,82290.5,0.369,0.41,0.003,1
frozen_wasteland,-17.426,29.92,415,1315.3,0.169,0.042,0.005,0
urban_roadside,16.327,62.971,545,5117.1,23.196,0.365,0.285,1
frozen_wasteland,-24.409,35.317,421,3390.8,0.192,0.083,0.006,0
volcanic_vent,73.155,61.751,6715,1096.8,88.297,3.576,2.758,0
volcanic_vent,73.449,45.209,9990,9581.4,50.83,2.281,2.464,0
indoor_kitchen_cooking,27.471,46.344,863,345.6,14.152,2.88,0.102,1
english_garden,20.543,62.918,445,33914.1,0.687,0.161,0.005,2
unventilated_room,25.926,46.034,4238,239.6,1.116,0.177,0.022,0
tundra_edge,1.435,53.651,458,6119.2,0.088,0.013,0.007,1
underground_cave,11.598,91.297,2498,43.7,2.287,0.77,0.015,1
english_garden,17.765,45.59,468,13529.8,0.293,0.094,0.004,2
ammonia_leak,21.994,64.037,796,656.2,1.592,367.459,0.035,0
underground_cave,13.144,80.879,1780,20.4,2.368,2.574,0.033,1
english_garden,19.937,61.228,439,29238,0.839,0.49,0.005,2
ammonia_leak,19.051,56.801,407,823.5,1.538,103.327,0.044,0
tropical_rainforest,28.132,93.678,449,5020.6,0.324,0.385,0.003,2
urban_roadside,17.12,62.332,696,26638.8,16.061,0.284,0.13,1
underground_cave,9.673,79.228,1198,37.5,1.812,0.774,0.024,1
indoor_kitchen_cooking,24.126,56.787,1291,235.3,2.502,1.07,0.164,1
english_garden,20.717,53.781,499,32820.2,0.313,0.405,0.006,2
dry_scrubland,30.638,20.058,446,77346.9,0.105,0.343,0.002,1
industrial_exhaust,25.915,46.925,2243,39950.1,83.52,54.894,5.121,0
diesel_exhaust_zone,21.487,42.767,543,27484.4,7.665,0.148,4.002,0
underground_cave,13.011,78.26,1315,36.4,2.746,2.669,0.006,1
unventilated_room,20.621,48.576,3340,110.5,0.793,0.433,0.016,0
english_garden,19.177,45.329,452,15742,0.229,0.215,0.007,2
dry_scrubland,35.106,12.083,470,78710.9,0.354,0.235,0.016,1
urban_roadside,24.458,56.043,569,18617.4,11.401,0.857,0.471,1
english_garden,16.281,58.869,451,21383.7,0.224,0.192,0.003,2
english_garden,17.543,61.022,468,38489.3,0.229,0.304,0.008,2
indoor_kitchen_cooking,23.58,51.997,1562,473.1,10.219,1.844,0.253,1
diesel_exhaust_zone,28.48,64.655,637,24786,7.075,0.551,2.131,0
greenhouse,26.527,71.479,688,48783,0.259,1.463,0.018,2
ammonia_leak,15.028,42.571,684,297.3,1.392,105.153,0.023,0
tropical_rainforest,25.393,79.394,444,5748.1,0.321,0.858,0.004,2
urban_roadside,10.649,54.518,616,28867.3,15.731,0.936,0.418,1
greenhouse,23.303,71.408,882,40940.4,0.107,0.687,0.011,2
industrial_exhaust,31.651,54.948,4589,15444.5,47.052,71.913,8.329,0
dry_scrubland,29.371,19.528,452,67439.5,0.789,0.381,0.007,1
tundra_edge,-3.283,58.908,408,3886.9,0.371,0.053,0.005,1
unventilated_room,25.518,42.422,3031,431.7,1.023,0.161,0.013,0
tropical_rainforest,24.257,77.364,436,10342.4,0.256,0.71,0.004,2
urban_roadside,20.153,66.373,597,29696.1,9.278,0.541,0.104,1
dry_scrubland,37.217,12.016,485,56400.3,0.576,0.489,0.006,1
diesel_exhaust_zone,28.48,49.698,574,23072.8,3.251,0.605,7.1,0
classroom,19.988,45.766,552,790.5,1.241,0.152,0.012,2
greenhouse,22.345,59.881,697,41867.5,0.426,0.793,0.024,2
urban_roadside,10.141,43.614,502,15938.7,8.693,0.577,0.368,1
diesel_exhaust_zone,15.001,69.081,505,18627.5,4.505,0.779,4.23,0
indoor_kitchen_cooking,22.738,67.5,1546,516.7,5.933,1.236,0.2,1
diesel_exhaust_zone,25.818,48.755,598,5768.4,3.635,0.995,3.172,0
english_garden,20.65,50.44,406,30794.3,0.619,0.039,0.005,2
tropical_rainforest,28.144,80.903,433,1452.3,0.416,0.192,0.004,2
urban_roadside,14.859,40.407,615,10493.8,12.093,0.461,0.076,1
tropical_rainforest,24.085,77.231,392,9284.8,0.118,0.502,0.004,2
frozen_wasteland,-34.598,23.57,408,3289.3,0.02,0.033,0.005,0
tropical_rainforest,28.456,91.702,401,11149.5,0.192,0.582,0.002,2
industrial_exhaust,32.094,46.98,3646,35527.3,118.201,90.247,8.311,0
dry_scrubland,37.906,15.244,423,54308,0.503,0.332,0.019,1
diesel_exhaust_zone,19.578,64.505,565,19098,7.598,0.589,2.716,0
unventilated_room,23.192,51.324,4104,171,0.901,0.404,0.015,0
frozen_wasteland,-36.828,17.562,440,2927.1,0.014,0.046,0.004,0
english_garden,21.089,56.326,440,12540,0.67,0.015,0.008,2
volcanic_vent,40.478,32.346,5297,24769.9,114.827,3.429,3.818,0
dry_scrubland,37.397,13.283,433,53279.2,0.367,0.215,0.011,1
industrial_exhaust,26.375,58.362,3388,13686.3,144.176,74.826,1.297,0
unventilated_room,24.665,51.684,4317,130.9,1.953,0.107,0.007,0
diesel_exhaust_zone,17.735,64.045,536,11176,4.443,0.693,1.907,0
indoor_kitchen_cooking,23.981,63.025,1103,496.1,2.558,2.797,0.253,1
tundra_edge,1.021,51.407,438,4103.5,0.211,0.059,0.006,1
tundra_edge,3.181,58.425,402,2098.3,0.204,0.118,0.001,1
tropical_rainforest,24.708,91.961,436,14985.8,0.236,0.4,0.003,2
dry_scrubland,33.837,22.126,457,55308.6,0.326,0.311,0.01,1
diesel_exhaust_zone,22.425,54.872,517,24173.8,1.566,0.407,2.065,0
tundra_edge,3.435,71.641,420,9111.5,0.457,0.175,0.005,1
tundra_edge,-0.883,72.292,421,10135.3,0.304,0.189,0.004,1
volcanic_vent,46.778,43.511,9912,12785.1,142.486,2.993,1.133,0
volcanic_vent,67.795,83.591,5374,29429.8,109.429,2.036,3.387,0
tropical_rainforest,28.77,89.586,406,14292.5,0.299,0.6,0.001,2
underground_cave,10.128,75.88,2349,32.1,0.943,1.21,0.045,1
ammonia_leak,15.752,64.082,593,909.7,0.12,310.562,0.011,0
ammonia_leak,17.631,45.755,563,751.4,1.007,175.245,0.029,0
dry_scrubland,37.133,16.851,443,63449.7,0.356,0.397,0.016,1
frozen_wasteland,-27.954,24.45,425,2622.9,0.169,0.069,0.003,0
dry_scrubland,35.751,16.548,422,56589.4,0.256,0.295,0.018,1
unventilated_room,23.817,57.288,4761,332.1,1.199,0.297,0.009,0
tropical_rainforest,25.691,93.033,418,14630.1,0.094,0.293,0.003,2
diesel_exhaust_zone,21.937,60.283,693,8074.5,1.461,0.632,7.788,0
dry_scrubland,29.366,10.56,499,61605.4,0.784,0.065,0.014,1
urban_roadside,16.146,53.819,576,7766.7,24.369,0.477,0.434,1
diesel_exhaust_zone,18.817,55.082,660,23418.5,7.46,0.207,2.38,0
urban_roadside,20.831,65.077,602,15160.9,18.108,0.127,0.168,1
greenhouse,26.362,58.698,925,15691.1,0.6,0.897,0.025,2
underground_cave,8.078,75.722,1312,2.5,2.843,2.24,0.015,1
greenhouse,20.75,58.63,674,45182.3,0.27,0.838,0.023,2
english_garden,19.49,56.535,465,32542.7,0.475,0.319,0.005,2
tropical_rainforest,26.612,90.747,418,4306.2,0.348,0.17,0.005,2
volcanic_vent,75.648,38.046,5186,2270.5,13.347,2.25,2.712,0
classroom,20.86,42.731,761,516.7,1.018,0.106,0.013,2
greenhouse,26.125,68.909,772,29939.2,0.224,0.769,0.027,2
tundra_edge,4.707,59.644,471,18642.3,0.243,0.065,0.002,1
frozen_wasteland,-16.07,21.427,409,3746.7,0.03,0.032,0.003,0
underground_cave,12.038,91.696,1827,14,2.021,1.981,0.047,1
